Titolo;Metascore;Metascore_Reviews;User_Score;Developer;Genres;Released_on
Dungeon Keeper 2;;;89;Bullfrog Productions;Real-Time Strategy;30/06/1999
Dungeons of Hinterberg;80;42;77;Microbird Games;Open-World Action;18/07/2024
EA Sports FC 24;75;76;25;EA Canada;Soccer Sim;29/09/2023
EA Sports PGA Tour;76;31;62;EA Tiburon;Golf Sim;04/04/2023
EA Sports UFC 3;75;57;44;EA Sports;Combat Sport;30/01/2018
EA Sports UFC 5;78;36;31;EA Vancouver;Combat Sport;27/10/2023
EA Sports WRC;80;22;64;Codemasters;Auto Racing Sim;03/11/2023
Eiyuden Chronicle: Hundred Heroes;79;38;71;Rabbit & Bear Studios;JRPG;23/04/2024
The Elder Scrolls Adventures: Redguard;;;66;Bethesda Softworks;Action Adventure;31/10/1998
An Elder Scrolls Legend: Battlespire;;;55;Bethesda Softworks;Western RPG;30/11/1997
The Elder Scrolls Online;71;64;57;ZeniMax Media;MMORPG;04/04/2014
The Elder Scrolls Online: Tamriel Unlimited;74;30;75;ZeniMax Media;MMORPG;09/06/2015
The Elder Scrolls III: Morrowind;87;34;85;Bethesda Softworks;Western RPG;06/06/2002
The Elder Scrolls IV: Oblivion;94;90;85;Bethesda Game Studios;Western RPG;20/03/2006
The Elder Scrolls V: Skyrim Special Ed.;84;67;83;Iron Galaxy Studios;Western RPG;17/11/2017
Evil West;73;46;70;Flying Wild Hog;Third Person Shooter;22/11/2022
The Evil Within;75;65;78;Tango Gameworks;Survival;14/10/2014
The Evil Within 2;76;71;81;Tango Gameworks;Survival;13/10/2017
Expeditions: A MudRunner Game;77;23;55;Saber Interactive;Vehicle Sim;05/03/2024
Figment;75;13;71;Bedtime Digital Games;Action Adventure;28/06/2018
F1 2021;84;32;66;Codemasters;Auto Racing Sim;15/07/2021
F1 22;79;40;43;Codemasters;Auto Racing Sim;28/06/2022
F1 23;82;38;61;Codemasters;Auto Racing Sim;16/06/2023
Fable Anniversary;68;53;73;Lionhead Studios;Action RPG;04/02/2014
Fable II;89;95;79;Lionhead Studios;Action RPG;21/10/2008
Fable III;80;88;67;Lionhead Studios;Action RPG;26/10/2010
Fallout;89;12;87;Black Isle Studios;Western RPG;09/10/1997
Fallout 2;86;15;91;Black Isle Studios;Western RPG;29/10/1998
Fallout 3;93;84;82;Bethesda Game Studios;Western RPG;28/10/2008
